fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 romeo                    & 0                    &             64 & 0                  \\
 julia                    & 1                    &            320 & 1                  \\
 william                  & 0                    &            320 & 1                  \\
 shakespeare              & 1                    &            384 & 2                  \\
 übersetzt                & 1                    &            472 & 3                  \\
 august                   & 0                    &            472 & 3                  \\
 wilhelm                  & 0                    &            472 & 3                  \\
 schlegel                 & 0                    &            472 & 3                  \\
 personen                 & 0                    &            472 & 3                  \\
 escalus                  & 1                    &            528 & 4                  \\
 prinz                    & 1                    &            584 & 5                  \\
 verona                   & 1                    &            768 & 6                  \\
 graf                     & 1                    &            824 & 7                  \\
 paris                    & 0                    &            824 & 7                  \\
 junger                   & 1                    &            880 & 8                  \\
 edelmann                 & 0                    &            880 & 8                  \\
 verwandter               & 0                    &            880 & 8                  \\
 prinzen                  & 0                    &            880 & 8                  \\
 montague                 & 0                    &            880 & 8                  \\
 capulet                  & 1                    &            936 & 9                  \\
 häupter                  & 1                    &           1016 & 10                 \\
 zweier                   & 0                    &           1016 & 10                 \\
 häuser                   & 1                    &           1376 & 11                 \\
 zwist                    & 0                    &           1376 & 11                 \\
 miteinander              & 0                    &           1376 & 11                 \\
 andrer                   & 1                    &           1432 & 12                 \\
 capulet                  & 2                    &           1464 & 12                 \\
 vorigen                  & 0                    &           1464 & 12                 \\
 verwandter               & 1                    &           1528 & 13                 \\
 alter                    & 0                    &           1528 & 13                 \\
 mann                     & 0                    &           1528 & 13                 \\
 onkel                    & 1                    &           1584 & 14                 \\
 capulet                  & 2                    &           1584 & 14                 \\
 romeo                    & 0                    &           1584 & 14                 \\
 montagues                & 1                    &           1648 & 15                 \\
 sohn                     & 1                    &           1704 & 16                 \\
 mercutio                 & 1                    &           1768 & 17                 \\
 verwandter               & 1                    &           1768 & 17                 \\
 prinzen                  & 1                    &           1824 & 18                 \\
 romeos                   & 1                    &           1880 & 19                 \\
 freund                   & 1                    &           1936 & 20                 \\
 benvolio                 & 0                    &           1936 & 20                 \\
 montagues                & 1                    &           1936 & 20                 \\
 neffe                    & 1                    &           1992 & 21                 \\
 romeos                   & 2                    &           1992 & 21                 \\
 freund                   & 1                    &           1992 & 21                 \\
 tybalt                   & 1                    &           2584 & 22                 \\
 neffe                    & 2                    &           2584 & 22                 \\
 gräfin                   & 0                    &           2584 & 22                 \\
 capulet                  & 2                    &           2584 & 22                 \\
 bruder                   & 1                    &           2640 & 23                 \\
 lorenzo                  & 1                    &           2696 & 24                 \\
 franziskaner             & 1                    &           2760 & 25                 \\
 bruder                   & 2                    &           2760 & 25                 \\
 markus                   & 0                    &           2760 & 25                 \\
 orden                    & 1                    &           2816 & 26                 \\
 abraham                  & 1                    &           2872 & 27                 \\
 diener                   & 0                    &           2872 & 27                 \\
 hause                    & 0                    &           2872 & 27                 \\
 montague                 & 0                    &           2872 & 27                 \\
 balthasar                & 1                    &           2936 & 28                 \\
 romeos                   & 2                    &           2936 & 28                 \\
 diener                   & 0                    &           2936 & 28                 \\
 simson                   & 1                    &           2992 & 29                 \\
 gregorio                 & 0                    &           2992 & 29                 \\
 peter                    & 1                    &           3048 & 30                 \\
 diener                   & 0                    &           3048 & 30                 \\
 hause                    & 0                    &           3048 & 30                 \\
 capulet                  & 3                    &           3080 & 30                 \\
 simson                   & 1                    &           3080 & 30                 \\
 diener                   & 0                    &           3080 & 30                 \\
 capulet                  & 3                    &           3080 & 30                 \\
 gregorio                 & 0                    &           3080 & 30                 \\
 diener                   & 1                    &           3136 & 31                 \\
 capulet                  & 3                    &           3136 & 31                 \\
 peter                    & 1                    &           3136 & 31                 \\
 diener                   & 2                    &           3136 & 31                 \\
 julias                   & 0                    &           3136 & 31                 \\
 amme                     & 0                    &           3136 & 31                 \\
 drei                     & 0                    &           3136 & 31                 \\
 musikanten               & 0                    &           3136 & 31                 \\
 page                     & 1                    &           3192 & 32                 \\
 paris                    & 0                    &           3192 & 32                 \\
 weiterer                 & 0                    &           3192 & 32                 \\
 page                     & 1                    &           3192 & 32                 \\
 apotheker                & 1                    &           3256 & 33                 \\
 chorus                   & 0                    &           3256 & 33                 \\
 offizier                 & 1                    &           3320 & 34                 \\
 gräfin                   & 1                    &           3400 & 35                 \\
 montague                 & 1                    &           3464 & 36                 \\
 ehefrau                  & 0                    &           3464 & 36                 \\
 montague                 & 1                    &           3464 & 36                 \\
 gräfin                   & 2                    &           3464 & 36                 \\
 capulet                  & 3                    &           3464 & 36                 \\
 ehefrau                  & 0                    &           3464 & 36                 \\
 capulet                  & 4                    &           3464 & 36                 \\
 julia                    & 1                    &           3464 & 36                 \\
 capulets                 & 1                    &           3528 & 37                 \\
