lossy_count memory usage (k=100)
\begin{tabular}{lllrrr}
\hline
 Word                & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
\hline
                     &             &              &       0 &             64 &          0 \\
 tragedy             & True        & 1            &       0 &            320 &          1 \\
 romeo               & True        & 1            &       0 &            376 &          2 \\
 juliet              & True        & 1            &       0 &            432 &          3 \\
 william             & True        & 1            &       0 &            488 &          4 \\
 shakespeare         & True        & 1            &       0 &            552 &          5 \\
 contents            & True        & 1            &       0 &            744 &          6 \\
 prologue            & True        & 1            &       0 &            808 &          7 \\
 act                 & True        & 1            &       0 &            864 &          8 \\
 scene               & True        & 1            &       0 &            920 &          9 \\
 public              & True        & 1            &       0 &            976 &         10 \\
 place               & True        & 1            &       0 &           1312 &         11 \\
 scene               & False       & 2            &       0 &           1344 &         11 \\
 ii                  & True        & 1            &       0 &           1400 &         12 \\
 street              & True        & 1            &       0 &           1456 &         13 \\
 scene               & False       & 3            &       0 &           1456 &         13 \\
 iii                 & True        & 1            &       0 &           1512 &         14 \\
 room                & True        & 1            &       0 &           1568 &         15 \\
 capulet’s           & True        & 1            &       0 &           1664 &         16 \\
 house               & True        & 1            &       0 &           1720 &         17 \\
 scene               & False       & 4            &       0 &           1720 &         17 \\
 iv                  & True        & 1            &       0 &           1776 &         18 \\
 street              & False       & 2            &       0 &           1808 &         18 \\
 scene               & False       & 5            &       0 &           1808 &         18 \\
 v                   & True        & 1            &       0 &           1864 &         19 \\
 hall                & True        & 1            &       0 &           1920 &         20 \\
 capulet’s           & False       & 2            &       0 &           1920 &         20 \\
 house               & False       & 2            &       0 &           1920 &         20 \\
 act                 & False       & 2            &       0 &           1920 &         20 \\
 ii                  & False       & 2            &       0 &           1920 &         20 \\
 chorus              & True        & 1            &       0 &           1976 &         21 \\
 scene               & False       & 6            &       0 &           1976 &         21 \\
 open                & True        & 1            &       0 &           2568 &         22 \\
 place               & False       & 2            &       0 &           2568 &         22 \\
 adjoining           & True        & 1            &       0 &           2632 &         23 \\
 capulet’s           & False       & 3            &       0 &           2664 &         23 \\
 garden              & True        & 1            &       0 &           2720 &         24 \\
 scene               & False       & 7            &       0 &           2720 &         24 \\
 ii                  & False       & 3            &       0 &           2720 &         24 \\
 capulet’s           & False       & 4            &       0 &           2752 &         24 \\
 garden              & False       & 2            &       0 &           2752 &         24 \\
 scene               & False       & 8            &       0 &           2752 &         24 \\
 iii                 & False       & 2            &       0 &           2752 &         24 \\
 friar               & True        & 1            &       0 &           2808 &         25 \\
 lawrence’s          & True        & 1            &       0 &           2904 &         26 \\
 cell                & True        & 1            &       0 &           2960 &         27 \\
 scene               & False       & 9            &       0 &           2960 &         27 \\
 iv                  & False       & 2            &       0 &           2960 &         27 \\
 street              & False       & 3            &       0 &           2960 &         27 \\
 scene               & False       & 10           &       0 &           2960 &         27 \\
 v                   & False       & 2            &       0 &           2960 &         27 \\
 capulet’s           & False       & 5            &       0 &           2960 &         27 \\
 garden              & False       & 3            &       0 &           2960 &         27 \\
 scene               & False       & 11           &       0 &           2960 &         27 \\
 vi                  & True        & 1            &       0 &           3016 &         28 \\
 friar               & False       & 2            &       0 &           3016 &         28 \\
 lawrence’s          & False       & 2            &       0 &           3016 &         28 \\
 cell                & False       & 2            &       0 &           3016 &         28 \\
 act                 & False       & 3            &       0 &           3016 &         28 \\
 iii                 & False       & 3            &       0 &           3016 &         28 \\
 scene               & False       & 12           &       0 &           3016 &         28 \\
 public              & False       & 2            &       0 &           3016 &         28 \\
 place               & False       & 3            &       0 &           3016 &         28 \\
 scene               & False       & 13           &       0 &           3016 &         28 \\
 ii                  & False       & 4            &       0 &           3048 &         28 \\
 room                & False       & 2            &       0 &           3048 &         28 \\
 capulet’s           & False       & 6            &       0 &           3048 &         28 \\
 house               & False       & 3            &       0 &           3048 &         28 \\
 scene               & False       & 14           &       0 &           3048 &         28 \\
 iii                 & False       & 4            &       0 &           3048 &         28 \\
 friar               & False       & 3            &       0 &           3048 &         28 \\
 lawrence’s          & False       & 3            &       0 &           3048 &         28 \\
 cell                & False       & 3            &       0 &           3048 &         28 \\
 scene               & False       & 15           &       0 &           3048 &         28 \\
 iv                  & False       & 3            &       0 &           3048 &         28 \\
 room                & False       & 3            &       0 &           3048 &         28 \\
 capulet’s           & False       & 7            &       0 &           3048 &         28 \\
 house               & False       & 4            &       0 &           3048 &         28 \\
 scene               & False       & 16           &       0 &           3048 &         28 \\
 v                   & False       & 3            &       0 &           3048 &         28 \\
 open                & False       & 2            &       0 &           3048 &         28 \\
 gallery             & True        & 1            &       0 &           3104 &         29 \\
 juliet’s            & True        & 1            &       0 &           3200 &         30 \\
 chamber             & True        & 1            &       0 &           3256 &         31 \\
 overlooking         & True        & 1            &       0 &           3320 &         32 \\
 garden              & False       & 4            &       0 &           3320 &         32 \\
 act                 & False       & 4            &       0 &           3320 &         32 \\
 iv                  & False       & 4            &       0 &           3320 &         32 \\
 scene               & False       & 17           &       0 &           3320 &         32 \\
 friar               & False       & 4            &       0 &           3320 &         32 \\
 lawrence’s          & False       & 4            &       0 &           3320 &         32 \\
 cell                & False       & 4            &       0 &           3320 &         32 \\
 scene               & False       & 18           &       0 &           3320 &         32 \\
 ii                  & False       & 5            &       0 &           3352 &         32 \\
 hall                & False       & 2            &       0 &           3352 &         32 \\
 capulet’s           & False       & 8            &       0 &           3352 &         32 \\
 house               & False       & 5            &       0 &           3352 &         32 \\
 scene               & False       & 19           &       0 &           3352 &         32 \\
 iii                 & False       & 5            &       0 &           3352 &         32 \\
 juliet’s            & False       & 2            &       0 &           3352 &         32 \\
 chamber             & False       & 2            &       1 &           3352 &         32 \\
 scene               & False       & 20           &       1 &           3352 &         32 \\
 iv                  & False       & 5            &       1 &           3352 &         32 \\
 hall                & False       & 3            &       1 &           3352 &         32 \\
 capulet’s           & False       & 9            &       1 &           3352 &         32 \\
 house               & False       & 6            &       1 &           3384 &         32 \\
 scene               & False       & 21           &       1 &           3384 &         32 \\
 v                   & False       & 4            &       1 &           3384 &         32 \\
 juliet’s            & False       & 3            &       1 &           3384 &         32 \\
 chamber             & False       & 3            &       1 &           3384 &         32 \\
 juliet              & False       & 2            &       1 &           3384 &         32 \\
 bed                 & True        & 2            &       1 &           3440 &         33 \\
 act                 & False       & 5            &       1 &           3440 &         33 \\
 v                   & False       & 5            &       1 &           3440 &         33 \\
 scene               & False       & 22           &       1 &           3440 &         33 \\
 mantua              & True        & 2            &       1 &           3496 &         34 \\
 street              & False       & 4            &       1 &           3496 &         34 \\
 scene               & False       & 23           &       1 &           3496 &         34 \\
 ii                  & False       & 6            &       1 &           3496 &         34 \\
 friar               & False       & 5            &       1 &           3496 &         34 \\
 lawrence’s          & False       & 5            &       1 &           3496 &         34 \\
 cell                & False       & 5            &       1 &           3496 &         34 \\
 scene               & False       & 24           &       1 &           3496 &         34 \\
 iii                 & False       & 6            &       1 &           3496 &         34 \\
 churchyard          & True        & 2            &       1 &           3560 &         35 \\
 monument            & True        & 2            &       1 &           3624 &         36 \\
 belonging           & True        & 2            &       1 &           3688 &         37 \\
 capulets            & True        & 2            &       1 &           3752 &         38 \\
 dramatis            & True        & 2            &       1 &           3816 &         39 \\
 personæ             & True        & 2            &       1 &           3896 &         40 \\
 escalus             & True        & 2            &       1 &           3952 &         41 \\
 prince              & True        & 2            &       1 &           4008 &         42 \\
 verona              & True        & 2            &       1 &           5160 &         43 \\
 mercutio            & True        & 2            &       1 &           5224 &         44 \\
 kinsman             & True        & 2            &       1 &           5280 &         45 \\
 prince              & False       & 3            &       1 &           5280 &         45 \\
 friend              & True        & 2            &       1 &           5336 &         46 \\
 romeo               & False       & 2            &       1 &           5336 &         46 \\
 paris               & True        & 2            &       1 &           5392 &         47 \\
 young               & True        & 2            &       1 &           5448 &         48 \\
 nobleman            & True        & 2            &       1 &           5512 &         49 \\
 kinsman             & False       & 3            &       1 &           5512 &         49 \\
 prince              & False       & 4            &       1 &           5512 &         49 \\
 page                & True        & 2            &       1 &           5568 &         50 \\
 paris               & False       & 3            &       1 &           5568 &         50 \\
 montague            & True        & 2            &       1 &           5632 &         51 \\
 head                & True        & 2            &       1 &           5688 &         52 \\
 veronese            & True        & 2            &       1 &           5752 &         53 \\
 family              & True        & 2            &       1 &           5808 &         54 \\
 feud                & True        & 2            &       1 &           5864 &         55 \\
 capulets            & False       & 3            &       1 &           5864 &         55 \\
 lady                & True        & 2            &       1 &           5920 &         56 \\
 montague            & False       & 3            &       1 &           5920 &         56 \\
 wife                & True        & 2            &       1 &           5976 &         57 \\
 montague            & False       & 4            &       1 &           5976 &         57 \\
 romeo               & False       & 3            &       1 &           5976 &         57 \\
 son                 & True        & 2            &       1 &           6032 &         58 \\
 montague            & False       & 5            &       1 &           6032 &         58 \\
 benvolio            & True        & 2            &       1 &           6096 &         59 \\
 nephew              & True        & 2            &       1 &           6152 &         60 \\
 montague            & False       & 6            &       1 &           6152 &         60 \\
 friend              & False       & 3            &       1 &           6152 &         60 \\
 romeo               & False       & 4            &       1 &           6152 &         60 \\
 abram               & True        & 2            &       1 &           6208 &         61 \\
 servant             & True        & 2            &       1 &           6264 &         62 \\
 montague            & False       & 7            &       1 &           6296 &         62 \\
 balthasar           & True        & 2            &       1 &           6360 &         63 \\
 servant             & False       & 3            &       1 &           6360 &         63 \\
 romeo               & False       & 5            &       1 &           6360 &         63 \\
 capulet             & True        & 2            &       1 &           6416 &         64 \\
 head                & False       & 3            &       1 &           6416 &         64 \\
 veronese            & False       & 3            &       1 &           6416 &         64 \\
 family              & False       & 3            &       1 &           6416 &         64 \\
 feud                & False       & 3            &       1 &           6416 &         64 \\
 montagues           & True        & 2            &       1 &           6480 &         65 \\
 lady                & False       & 3            &       1 &           6480 &         65 \\
 capulet             & False       & 3            &       1 &           6480 &         65 \\
 wife                & False       & 3            &       1 &           6480 &         65 \\
 capulet             & False       & 4            &       1 &           6480 &         65 \\
 juliet              & False       & 3            &       1 &           6480 &         65 \\
 daughter            & True        & 2            &       1 &           6544 &         66 \\
 capulet             & False       & 5            &       1 &           6544 &         66 \\
 tybalt              & True        & 2            &       1 &           6600 &         67 \\
 nephew              & False       & 3            &       1 &           6600 &         67 \\
 lady                & False       & 4            &       1 &           6600 &         67 \\
 capulet             & False       & 6            &       1 &           6600 &         67 \\
 capulet’s           & False       & 10           &       1 &           6600 &         67 \\
 cousin              & True        & 2            &       1 &           6656 &         68 \\
 old                 & True        & 2            &       1 &           6712 &         69 \\
 man                 & True        & 2            &       1 &           6768 &         70 \\
 nurse               & True        & 2            &       1 &           6824 &         71 \\
 juliet              & False       & 4            &       1 &           6824 &         71 \\
 peter               & True        & 2            &       1 &           6880 &         72 \\
 servant             & False       & 4            &       1 &           6880 &         72 \\
 juliet’s            & False       & 4            &       1 &           6880 &         72 \\
 nurse               & False       & 3            &       1 &           6880 &         72 \\
 sampson             & True        & 2            &       1 &           6936 &         73 \\
 servant             & False       & 5            &       1 &           6936 &         73 \\
 capulet             & False       & 7            &       1 &           6936 &         73 \\
 gregory             & True        & 2            &       1 &           6992 &         74 \\
 servant             & False       & 6            &       2 &           6360 &         64 \\
 capulet             & False       & 8            &       2 &           6392 &         64 \\
 servants            & True        & 3            &       2 &           6456 &         65 \\
 friar               & False       & 6            &       2 &           6456 &         65 \\
 lawrence            & True        & 3            &       2 &           6520 &         66 \\
 franciscan          & True        & 3            &       2 &           6584 &         67 \\
 friar               & False       & 7            &       2 &           6584 &         67 \\
 john                & True        & 3            &       2 &           6640 &         68 \\
 order               & True        & 3            &       2 &           6696 &         69 \\
 apothecary          & True        & 3            &       2 &           6760 &         70 \\
 chorus              & True        & 3            &       2 &           6816 &         71 \\
 three               & True        & 3            &       2 &           6872 &         72 \\
 musicians           & True        & 3            &       2 &           6936 &         73 \\
 officer             & True        & 3            &       2 &           6992 &         74 \\
 citizens            & True        & 3            &       2 &           7056 &         75 \\
 verona              & False       & 3            &       2 &           7056 &         75 \\
 several             & True        & 3            &       2 &           9536 &         76 \\
 men                 & True        & 3            &       2 &           9592 &         77 \\
 women               & True        & 3            &       2 &           9648 &         78 \\
 relations           & True        & 3            &       2 &           9712 &         79 \\
 houses              & True        & 3            &       2 &           9768 &         80 \\
 maskers             & True        & 3            &       2 &           9824 &         81 \\
 guards              & True        & 3            &       2 &           9880 &         82 \\
 watchmen            & True        & 3            &       2 &           9944 &         83 \\
 attendants          & True        & 3            &       2 &          10008 &         84 \\
 scene               & False       & 25           &       2 &          10008 &         84 \\
 greater             & True        & 3            &       2 &          10064 &         85 \\
 part                & True        & 3            &       2 &          10120 &         86 \\
 play                & True        & 3            &       2 &          10176 &         87 \\
 verona              & False       & 4            &       2 &          10176 &         87 \\
 fifth               & True        & 3            &       2 &          10232 &         88 \\
 act                 & False       & 6            &       2 &          10232 &         88 \\
 mantua              & False       & 3            &       2 &          10232 &         88 \\
 prologue            & True        & 3            &       2 &          10296 &         89 \\
 enter               & True        & 3            &       2 &          10352 &         90 \\
 chorus              & False       & 4            &       2 &          10352 &         90 \\
 chorus              & False       & 5            &       2 &          10352 &         90 \\
 two                 & True        & 3            &       2 &          10408 &         91 \\
 households          & True        & 3            &       2 &          10472 &         92 \\
 alike               & True        & 3            &       2 &          10528 &         93 \\
 dignity             & True        & 3            &       2 &          10584 &         94 \\
 fair                & True        & 3            &       2 &          10640 &         95 \\
 verona              & False       & 5            &       2 &          10640 &         95 \\
 lay                 & True        & 3            &       2 &          10696 &         96 \\
 scene               & False       & 26           &       2 &          10696 &         96 \\
 ancient             & True        & 3            &       2 &          10752 &         97 \\
 grudge              & True        & 3            &       2 &          10808 &         98 \\
 break               & True        & 3            &       2 &          10864 &         99 \\
 new                 & True        & 3            &       2 &          10920 &        100 \\
 mutiny              & True        & 3            &       2 &          10976 &        101 \\
 civil               & True        & 3            &       2 &          11032 &        102 \\
 blood               & True        & 3            &       2 &          11088 &        103 \\
 makes               & True        & 3            &       2 &          11144 &        104 \\
 civil               & False       & 4            &       2 &          11144 &        104 \\
 hands               & True        & 3            &       2 &          11200 &        105 \\
 unclean             & True        & 3            &       2 &          11256 &        106 \\
 forth               & True        & 3            &       2 &          11312 &        107 \\
 fatal               & True        & 3            &       2 &          11368 &        108 \\
 loins               & True        & 3            &       2 &          11424 &        109 \\
 two                 & False       & 4            &       2 &          11424 &        109 \\
 foes                & True        & 3            &       2 &          11480 &        110 \\
 pair                & True        & 3            &       2 &          11536 &        111 \\
 starcross’d         & True        & 3            &       2 &          11632 &        112 \\
 lovers              & True        & 3            &       2 &          11688 &        113 \\
 take                & True        & 3            &       2 &          11744 &        114 \\
 life                & True        & 3            &       2 &          11800 &        115 \\
 whose               & True        & 3            &       2 &          11856 &        116 \\
 misadventur’d       & True        & 3            &       2 &          11960 &        117 \\
 piteous             & True        & 3            &       2 &          12016 &        118 \\
 overthrows          & True        & 3            &       2 &          12080 &        119 \\
 doth                & True        & 3            &       2 &          12136 &        120 \\
 death               & True        & 3            &       2 &          12192 &        121 \\
 bury                & True        & 3            &       2 &          12248 &        122 \\
 parents’            & True        & 3            &       2 &          12344 &        123 \\
 strife              & True        & 3            &       2 &          12400 &        124 \\
 fearful             & True        & 3            &       2 &          12456 &        125 \\
 passage             & True        & 3            &       2 &          12512 &        126 \\
 deathmark’d         & True        & 3            &       2 &          12608 &        127 \\
 love                & True        & 3            &       2 &          12664 &        128 \\
 continuance         & True        & 3            &       2 &          12728 &        129 \\
 parents’            & False       & 4            &       2 &          12728 &        129 \\
 rage                & True        & 3            &       2 &          12784 &        130 \\
 children’s          & True        & 3            &       2 &          12880 &        131 \\
 end                 & True        & 3            &       2 &          12936 &        132 \\
 nought              & True        & 3            &       2 &          12992 &        133 \\
 could               & True        & 3            &       2 &          13048 &        134 \\
 remove              & True        & 3            &       2 &          13104 &        135 \\
 two                 & False       & 5            &       2 &          13104 &        135 \\
 hours’              & True        & 3            &       2 &          13192 &        136 \\
 traffic             & True        & 3            &       2 &          13248 &        137 \\
 stage               & True        & 3            &       2 &          13304 &        138 \\
 patient             & True        & 3            &       2 &          13360 &        139 \\
 ears                & True        & 3            &       2 &          13416 &        140 \\
 attend              & True        & 3            &       2 &          13472 &        141 \\
 shall               & True        & 3            &       2 &          13528 &        142 \\
 miss                & True        & 3            &       2 &          13584 &        143 \\
 toil                & True        & 3            &       2 &          13640 &        144 \\
 shall               & False       & 4            &       2 &          13640 &        144 \\
 strive              & True        & 3            &       2 &          13696 &        145 \\
 mend                & True        & 3            &       2 &          13752 &        146 \\
 exit                & True        & 3            &       3 &          12216 &        121 \\
 act                 & False       & 7            &       3 &          12216 &        121 \\
 scene               & False       & 27           &       3 &          12216 &        121 \\
 public              & True        & 4            &       3 &          12272 &        122 \\
 place               & False       & 4            &       3 &          12272 &        122 \\
 enter               & False       & 4            &       3 &          12272 &        122 \\
 sampson             & True        & 4            &       3 &          12328 &        123 \\
 gregory             & True        & 4            &       3 &          12384 &        124 \\
 armed               & True        & 4            &       3 &          12440 &        125 \\
 swords              & True        & 4            &       3 &          12496 &        126 \\
 bucklers            & True        & 4            &       3 &          12560 &        127 \\
 sampson             & False       & 5            &       3 &          12560 &        127 \\
 gregory             & False       & 5            &       3 &          12560 &        127 \\
 word                & True        & 4            &       3 &          12616 &        128 \\
 we’ll               & True        & 4            &       3 &          12704 &        129 \\
 carry               & True        & 4            &       3 &          12760 &        130 \\
 coals               & True        & 4            &       3 &          12816 &        131 \\
 gregory             & False       & 6            &       3 &          12816 &        131 \\
 colliers            & True        & 4            &       3 &          12880 &        132 \\
 sampson             & False       & 6            &       3 &          12880 &        132 \\
 mean                & True        & 4            &       3 &          12936 &        133 \\
 choler              & True        & 4            &       3 &          12992 &        134 \\
 we’ll               & False       & 5            &       3 &          12992 &        134 \\
 draw                & True        & 4            &       3 &          13048 &        135 \\
 gregory             & False       & 7            &       3 &          13048 &        135 \\
 ay                  & True        & 4            &       3 &          13104 &        136 \\
 live                & True        & 4            &       3 &          13160 &        137 \\
 draw                & False       & 5            &       3 &          13160 &        137 \\
 neck                & True        & 4            &       3 &          13216 &        138 \\
 o’                  & True        & 4            &       3 &          13296 &        139 \\
 collar              & True        & 4            &       3 &          13352 &        140 \\
 sampson             & False       & 7            &       3 &          13352 &        140 \\
 strike              & True        & 4            &       3 &          13408 &        141 \\
 quickly             & True        & 4            &       3 &          13464 &        142 \\
 moved               & True        & 4            &       3 &          13520 &        143 \\
 gregory             & False       & 8            &       3 &          13520 &        143 \\
 thou                & True        & 4            &       3 &          13576 &        144 \\
 art                 & True        & 4            &       3 &          18248 &        145 \\
 quickly             & False       & 5            &       3 &          18248 &        145 \\
 moved               & False       & 5            &       3 &          18248 &        145 \\
 strike              & False       & 5            &       3 &          18248 &        145 \\
 sampson             & False       & 8            &       3 &          18248 &        145 \\
 dog                 & True        & 4            &       3 &          18304 &        146 \\
 house               & False       & 7            &       3 &          18304 &        146 \\
 montague            & False       & 8            &       3 &          18304 &        146 \\
 moves               & True        & 4            &       3 &          18360 &        147 \\
 gregory             & False       & 9            &       3 &          18392 &        147 \\
 move                & True        & 4            &       3 &          18448 &        148 \\
 stir                & True        & 4            &       3 &          18504 &        149 \\
 valiant             & True        & 4            &       3 &          18560 &        150 \\
 stand               & True        & 4            &       3 &          18616 &        151 \\
 therefore           & True        & 4            &       3 &          18680 &        152 \\
 thou                & False       & 5            &       3 &          18680 &        152 \\
 art                 & False       & 5            &       3 &          18680 &        152 \\
 moved               & False       & 6            &       3 &          18680 &        152 \\
 thou                & False       & 6            &       3 &          18680 &        152 \\
 runn’st             & True        & 4            &       3 &          18768 &        153 \\
 away                & True        & 4            &       3 &          18824 &        154 \\
 sampson             & False       & 9            &       3 &          18824 &        154 \\
 dog                 & False       & 5            &       3 &          18824 &        154 \\
 house               & False       & 8            &       3 &          18824 &        154 \\
 shall               & False       & 5            &       3 &          18824 &        154 \\
 move                & False       & 5            &       3 &          18824 &        154 \\
 stand               & False       & 5            &       3 &          18824 &        154 \\
 take                & False       & 4            &       3 &          18824 &        154 \\
 wall                & True        & 4            &       3 &          18880 &        155 \\
 man                 & True        & 4            &       3 &          18936 &        156 \\
 maid                & True        & 4            &       3 &          18992 &        157 \\
 montague’s          & True        & 4            &       3 &          19088 &        158 \\
 gregory             & False       & 10           &       3 &          19088 &        158 \\
 shows               & True        & 4            &       3 &          19144 &        159 \\
 thee                & True        & 4            &       3 &          19200 &        160 \\
 weak                & True        & 4            &       3 &          19256 &        161 \\
 slave               & True        & 4            &       3 &          19312 &        162 \\
 weakest             & True        & 4            &       3 &          19368 &        163 \\
 goes                & True        & 4            &       3 &          19424 &        164 \\
 wall                & False       & 5            &       3 &          19424 &        164 \\
 sampson             & False       & 10           &       3 &          19392 &        164 \\
 true                & True        & 4            &       3 &          19448 &        165 \\
 therefore           & False       & 5            &       3 &          19448 &        165 \\
 women               & False       & 4            &       3 &          19448 &        165 \\
 weaker              & True        & 4            &       3 &          19504 &        166 \\
 vessels             & True        & 4            &       3 &          19560 &        167 \\
 ever                & True        & 4            &       3 &          19616 &        168 \\
 thrust              & True        & 4            &       3 &          19672 &        169 \\
 wall                & False       & 6            &       3 &          19672 &        169 \\
 therefore           & False       & 6            &       3 &          19672 &        169 \\
 push                & True        & 4            &       3 &          19728 &        170 \\
 montague’s          & False       & 5            &       3 &          19728 &        170 \\
 men                 & False       & 4            &       3 &          19728 &        170 \\
 wall                & False       & 7            &       3 &          19728 &        170 \\
 thrust              & False       & 5            &       3 &          19728 &        170 \\
 maids               & True        & 4            &       3 &          19784 &        171 \\
 wall                & False       & 8            &       3 &          19784 &        171 \\
 gregory             & False       & 11           &       3 &          19816 &        171 \\
 quarrel             & True        & 4            &       3 &          19872 &        172 \\
 masters             & True        & 4            &       3 &          19928 &        173 \\
 us                  & True        & 4            &       3 &          19984 &        174 \\
 men                 & False       & 5            &       3 &          19984 &        174 \\
